trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
27,0.22977848948955504,0.22977848948955504,0.06368059154140865,0.6450232343599209,nan,nan,nan,nan,nan,0.20993624346161255,0.0018130396968322974,0.7302442528735632,0.2446821689501745,0.02643661547761268,0.790296052631579,0.1817349007851849,0.00442886109925881,0.625,0.2302387418307418,0.0005794308707307365,0.8043870192307693,0.2371531988855066,0.08942456395278767,0.6064747862173038,0.27492568302410997,0.25940103815122967,0.31373729520631066,0.2151015203330192
39,0.2306523227998091,0.2306523227998091,0.0394693688294109,0.7086097077258046,nan,nan,nan,nan,nan,0.2589395656223567,0.0014342137103798488,0.9027029454022989,0.2566755968672683,0.02620438824575457,0.8328536184210527,0.1817349007851849,0.00442886109925881,0.625,0.24589564646323211,0.0005039050485249274,0.859375,0.25783875463127004,0.07812088626244999,0.7071334255533199,0.1828294724295424,0.12612395861009723,0.32459325697815533,0.16370701057307785
26,0.23113677202515057,0.23113677202515057,0.06837266133559361,0.6380470487490427,nan,nan,nan,nan,nan,0.20552933639538534,0.0018394904937693098,0.7147539511494253,0.24348517973050948,0.027449975306923714,0.7835731907894737,0.1817349007851849,0.00442886109925881,0.625,0.22696062678841225,0.0005874255807001634,0.7928936298076923,0.23420341432254602,0.08818721968939137,0.5992439009054326,0.29490717412886536,0.2877429958435183,0.312817619842233,0.2247477717578037
37,0.2316193488041566,0.2316193488041566,0.04772996516015774,0.6913428079141539,nan,nan,nan,nan,nan,0.24860979294693153,0.0015019859877730788,0.8663793103448276,0.2547057912641753,0.02620981829616122,0.8259457236842105,0.1817349007851849,0.00442886109925881,0.625,0.23823677114806105,0.0005987872995931563,0.8323317307692307,0.2510711929670426,0.0807690363510427,0.6768265845070423,0.21535764371354438,0.17287130192711747,0.32157349817961167,0.17478865759488416
44,0.23170294708334413,0.23170294708334413,0.04770867277114096,0.6916886328638521,nan,nan,nan,nan,nan,0.24860979294693153,0.0015019859877730788,0.8663793103448276,0.2547057912641753,0.02620981829616122,0.8259457236842105,0.1817349007851849,0.00442886109925881,0.625,0.23823677114806105,0.0005987872995931563,0.8323317307692307,0.2515727826421676,0.08064128201694201,0.6789015342052314,0.21535764371354438,0.17287130192711747,0.32157349817961167,0.17472681588707042
42,0.23204664743818518,0.23204664743818518,0.04760609703726898,0.6931480234404755,nan,nan,nan,nan,nan,0.250280232147497,0.0014878709835072594,0.8722611350574713,0.2547060514222416,0.026210182517454068,0.8259457236842105,0.1817349007851849,0.00442886109925881,0.625,0.23890285399364503,0.000629860975718361,0.8345853365384616,0.2512982025669981,0.08000850472055789,0.6795224471830986,0.21535764371354438,0.17287130192711747,0.32157349817961167,0.1737016418565981
32,0.2336388970875456,0.2336388970875456,0.047830323276177866,0.6981603316159647,nan,nan,nan,nan,nan,0.25339466191655613,0.0014658887521440352,0.8832165948275862,0.25526985269854946,0.02621003062007443,0.8279194078947368,0.1817349007851849,0.00442886109925881,0.625,0.24141558170571495,0.000541910541847055,0.8435997596153846,0.25366348464484934,0.0797264640158675,0.6885060362173038,0.21635490077441863,0.17460878462787538,0.3207201911407767,0.16988565535185446
43,0.23392880237410543,0.23392880237410543,0.05487184477044588,0.6815711963832544,nan,nan,nan,nan,nan,0.23616987967253816,0.0015968832656913603,0.8226023706896551,0.2539075090932505,0.0262270916779191,0.8231085526315789,0.1817349007851849,0.00442886109925881,0.625,0.23755914215246243,0.0005515490134474173,0.830078125,0.2514460653365121,0.08686163935844086,0.6629071302816901,0.24275531720468466,0.2095650442079177,0.32573099969660196,0.18300626956117058
38,0.23456808069627735,0.23456808069627735,0.05510394713951979,0.6832284145881714,nan,nan,nan,nan,nan,0.23907582477794717,0.0015703788270570195,0.8328394396551724,0.25417218843580847,0.02622757696802655,0.8240337171052632,0.1817349007851849,0.00442886109925881,0.625,0.23755914215246243,0.0005515490134474173,0.830078125,0.25174506249038625,0.08687467702376414,0.6639210261569416,0.24312136553587502,0.2109706399055648,0.3234981796116505,0.18150041900251526
40,0.23498438666155227,0.23498438666155227,0.04781512858440836,0.7029075318544121,nan,nan,nan,nan,nan,0.2566909472382303,0.001447067512832726,0.8948006465517241,0.2558319121360803,0.02620744014840711,0.8298930921052632,0.1817349007851849,0.00442886109925881,0.625,0.24296779763536472,0.0004614070741259288,0.8492337740384616,0.2561233621254789,0.07991639409840691,0.696640782193159,0.2165574000489745,0.17442960157341864,0.3218768962378641,0.16734687504462312
