trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_grad,param_beta_curl,param_beta_xpoint
159,0.24558016022508056,0.24558016022508056,0.04151945951041918,0.755731912011734,nan,nan,nan,nan,nan,0.2651866102609236,0.001397748618166605,0.9246587643678161,0.25440338581474997,0.01819599014064995,0.844921875,0.22505648311030224,0.009236685050075315,0.7646059782608695,0.2691018518230883,0.0009463185138620744,0.9394906850961539,0.2598157135000776,0.09028877958421322,0.6836330482897385,0.19991691684134144,0.1290512351555479,0.37708112105582525,1.6481496092568404,0.128933204713395,1.3342997097001874,2.23181470627752,5.537667773318349,0.30214911806928935,1.7604706677363633,1.3922808301281842,1.1802869220907222
111,0.24674939306064506,0.24674939306064506,0.04391004737239404,0.7538477572812726,nan,nan,nan,nan,nan,0.2826509030887754,0.0012787930599176065,0.9860811781609196,0.25331678621663006,0.01643626386117677,0.8455180921052632,0.23337426318377044,0.011965136935539463,0.7868970788043478,0.2787924349760395,0.0009464281972244908,0.9734074519230769,0.27162601980630396,0.1385982335638356,0.6041954854124748,0.16073595109235123,0.09423542861667031,0.3269872572815534,0.6844223733151403,0.14255210305395571,1.2830112599386125,2.870244064446529,11.637683562634852,0.05923756968713969,0.447488417835264,1.261529621568407,0.28877755594295834
199,0.24716750919211258,0.24716750919211258,0.018845408578896824,0.8179727607251518,nan,nan,nan,nan,nan,0.2710367103900057,0.0013802738563527387,0.9451778017241379,0.2622037951296828,0.02026787897102956,0.8670435855263158,0.2866372279992768,0.0012921191989874999,1.0,0.27956513740419314,0.0006760481351011298,0.9767878605769231,0.23603021976773872,0.02956831371105146,0.7521849849094567,0.1475319644617783,0.05988781760085855,0.36664233161407767,1.4036510602892172,0.10060204033332179,1.2901402135336653,2.8213284645845835,12.045649501268118,0.20741681865421333,0.4615165748406391,0.46888913060497667,0.34288379122295815
174,0.24847147729792793,0.24847147729792793,0.0447427082059961,0.7577934000277574,nan,nan,nan,nan,nan,0.2780327740219251,0.0013148491479364668,0.9698275862068966,0.25024912474067323,0.04338331411062674,0.7674136513157894,0.269731785474873,0.012118385534387393,0.9137652853260869,0.27784580553993454,0.0011085267943698614,0.9696890024038461,0.24878695571179968,0.10064391606492999,0.6191445548289738,0.16618241829836197,0.10988725758372615,0.30692032008495146,0.7347482375539723,0.16631571167751458,1.11534947672217,2.979049959349396,6.856216147252576,0.19802774032737092,1.2861783554917594,0.40250454701607713,0.9089159513513894
114,0.24875325391584957,0.24875325391584957,0.03792932440080949,0.7758130777034498,nan,nan,nan,nan,nan,0.2807674445167577,0.0012999970361044378,0.9794360632183908,0.2500307756074242,0.03126841479776225,0.7969366776315789,0.2799549383305376,0.0069165332279699605,0.9625509510869565,0.27285976892625796,0.0009790370736841095,0.9525615985576923,0.2600715550923242,0.10412784312522975,0.6499308350100603,0.14883504102179584,0.08298412114410642,0.3134623407160194,1.0766408688917066,0.14102817271333926,1.7579679025922321,2.7528336319021838,12.357561066757732,0.25894335021000886,0.9417991989775134,1.516565200893804,0.24960231207130815
139,0.24901372338908864,0.24901372338908864,0.05940740975009379,0.7230295074865757,nan,nan,nan,nan,nan,0.2626534510217486,0.001443279706310005,0.9156788793103449,0.2524574077866354,0.03791405511181586,0.7888157894736842,0.23151924135546553,0.01823359550634736,0.7647333559782609,0.26355712120721364,0.0011614600747143842,0.9195462740384616,0.25679936604890097,0.10969202494331036,0.6245677188128773,0.2270957529145678,0.1880000431580648,0.32483502730582525,1.1348466265233244,0.16894490311983204,1.2506147972963153,1.9763902181879267,4.9298170520587306,0.20804350837273952,0.34311387467780907,1.5455557837918181,1.020048024569106
104,0.2502448006956367,0.2502448006956367,0.045658298221899984,0.7617110568799785,nan,nan,nan,nan,nan,0.25545594540479444,0.0015140419575167601,0.8903107040229885,0.24436979778509907,0.02036607216229652,0.8043791118421053,0.28620777024396227,0.0017099000806775704,0.997452445652174,0.2664198367829236,0.0015634926499391462,0.9285606971153846,0.27060420181180095,0.14207840265724564,0.5919186996981891,0.17841125214523995,0.10671787982372424,0.3576446829490291,0.7695034965626594,0.15708709305722507,1.4639106868900078,2.8991693023364196,12.642683766693338,0.0676210501176749,0.2561991203605973,1.2386924647201638,0.2886811104551072
5,0.25081015858773276,0.25081015858773276,0.028815125482231946,0.8057977413514846,nan,nan,nan,nan,nan,0.24871758287966927,0.0015630930430311448,0.8666038074712644,0.27321875624777614,0.026042442957412835,0.8911595394736842,0.28589078390254297,0.0027946518113861852,0.9936311141304348,0.27756142010736495,0.000665315073387773,0.9698016826923077,0.27313285084733413,0.09122967830900418,0.727890782193159,0.14633955754170921,0.050595571699169575,0.38569952214805825,1.7889256142025483,0.10290833980441412,1.5167352077993104,3.035041499716522,6.588568962721605,0.27447477769654216,0.4986346852262402,1.9636826152675086,0.4655419232560337
206,0.25123075634453595,0.25123075634453595,0.037276968771520765,0.7861152252770739,nan,nan,nan,nan,nan,0.2631200347919653,0.003419533383080839,0.9123712883141762,0.2583278724631379,0.03164257407997198,0.8250411184210527,0.2856270560586491,0.0034444545690651743,0.9910835597826086,0.27671440154677374,0.0008767246654831877,0.96630859375,0.26213454934195024,0.11430350992380074,0.631712147887324,0.1614606238647395,0.06997501600772266,0.39017464350728154,1.5054625515143627,0.1377067315799035,1.4017222854760778,2.830761815651124,12.347009745116628,0.15173100451587312,0.40471483624584553,0.1265339141424928,0.29381539812894636
67,0.25139561685188205,0.25139561685188205,0.022888060016895088,0.8226645089393495,nan,nan,nan,nan,nan,0.2835094526142179,0.001277457797836037,0.9890894396551724,0.2650329997892545,0.014804423389166776,0.8906044407894737,0.2804729528250694,0.004431835042053613,0.9705757472826086,0.28140055778220635,0.0009018866643195778,0.9826472355769231,0.2464282164146723,0.05366713376524945,0.7283309230382293,0.15152952168587203,0.06224562344274507,0.37473926729368934,0.6942288712546066,0.10067476456579597,1.3975494467311063,2.928389591747428,11.801529168937437,0.06301838897779612,0.41040104963497953,1.3075008537591948,0.27134868056222544
115,0.2519020011756753,0.2519020011756753,0.037908963437741784,0.7868845955205089,nan,nan,nan,nan,nan,0.26206502894717726,0.0014276784570825714,0.9136584051724138,0.25738953577878276,0.025493376406085295,0.8371299342105263,0.2826058305020443,0.00543077139851416,0.9755434782608695,0.27036134566832287,0.0008616531664212343,0.9441105769230769,0.25486925778361463,0.08844108061537033,0.6709397007042254,0.18412100837410988,0.10579922058297712,0.37992547785194175,1.1722805611928744,0.1424494136225662,1.3144170640631203,2.7763551999861784,12.197779176499386,0.25463695453167107,0.43424112177422225,1.496874472143454,1.9223761559755765
