trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_tearing,phys_tearing,patch_tearing,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
42,0.21476958095069115,0.21476958095069115,0.039412501895112466,0.6531622785896378,nan,nan,nan,nan,nan,0.2681672762081279,0.0013860545074709575,0.9351203304597702,0.1817349007851849,0.00442886109925881,0.625,0.24675885113174217,0.05794981613172272,0.7187814386317908,0.16241729567770966,0.09388527584199738,0.3337473452669903,0.14959824837662078
92,0.21525459095291308,0.21525459095291305,0.017110574677178074,0.7106146316422504,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.25393142040356226,0.013762917136415665,0.8543526785714286,0.1387346918155342,0.04898622934271871,0.36310584799757284,0.08696007168389808
117,0.21534907421000118,0.21534907421000118,0.020218358444484077,0.7031758636237938,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2529550396937572,0.021535194404258,0.8315046529175051,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09871495466198771
110,0.21558505280284385,0.21558505280284385,0.018708309443286518,0.7077769112017371,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2521304958509914,0.014703016122977447,0.8456991951710262,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08995775189578355
111,0.21558505280284385,0.21558505280284385,0.018708309443286518,0.7077769112017371,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2521304958509914,0.014703016122977447,0.8456991951710262,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.0899298610787847
113,0.2156454119914831,0.2156454119914831,0.019944725302341496,0.7048971287143371,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2541403908196849,0.020440661835687674,0.838389713279678,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.0953181372502469
1,0.21578636461492967,0.21578636461492967,0.01852092440072977,0.7089499651504293,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2529357430993346,0.013953475952750465,0.8503914109657947,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08947368421052632
23,0.21578636461492967,0.21578636461492967,0.01852092440072977,0.7089499651504293,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2529357430993346,0.013953475952750465,0.8503914109657947,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08942878564395867
93,0.21578636461492967,0.21578636461492967,0.01852092440072977,0.7089499651504293,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2529357430993346,0.013953475952750465,0.8503914109657947,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08945926475730792
115,0.21578636461492967,0.21578636461492967,0.01852092440072977,0.7089499651504293,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2529357430993346,0.013953475952750465,0.8503914109657947,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08925044498950827
108,0.21585003553232085,0.21585003553232085,0.01851103199493657,0.7091975443757814,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08888404612013556
112,0.21585003553232085,0.21585003553232085,0.01851103199493657,0.7091975443757814,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08902685027920992
118,0.21586840757695322,0.2158684075769532,0.019863150258820544,0.7058815508722847,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2550323731615653,0.020114361661603873,0.8423274019114688,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.0944134927543478
119,0.21586840757695322,0.2158684075769532,0.019863150258820544,0.7058815508722847,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2550323731615653,0.020114361661603873,0.8423274019114688,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.0946508101800406
2,0.21618310694306028,0.21618310694306028,0.03145321138930108,0.6780078458274582,nan,nan,nan,nan,nan,0.2820374180338593,0.0012819829485523674,0.9839260057471264,0.1817349007851849,0.00442886109925881,0.625,0.23947577606527343,0.031345689107076934,0.7598009934607646,0.16148433288792352,0.08875631240231621,0.34330438410194175,0.12894736842105264
78,0.21625565184715242,0.21625565184715245,0.031462816257042184,0.6782377408224279,nan,nan,nan,nan,nan,0.2820374180338593,0.0012819829485523674,0.9839260057471264,0.1817349007851849,0.00442886109925881,0.625,0.23976595568164208,0.03138410857804136,0.7607205734406438,0.16148433288792352,0.08875631240231621,0.34330438410194175,0.12883595806942366
75,0.21635833379312927,0.21635833379312924,0.018437133024874163,0.7111613357137668,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14389065681106195,0.054141473540341066,0.3682636149878641,0.0881345553498843
86,0.21641616717073134,0.21641616717073134,0.018416710165991976,0.7114148096825796,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.25342176027930774,0.013832214894048924,0.8523956237424547,0.14389065681106195,0.054141473540341066,0.3682636149878641,0.08779671414006265
87,0.21641616717073134,0.21641616717073134,0.018416710165991976,0.7114148096825796,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.25342176027930774,0.013832214894048924,0.8523956237424547,0.14389065681106195,0.054141473540341066,0.3682636149878641,0.08787984407616944
89,0.21659634410330603,0.21659634410330603,0.01784833518218335,0.7134663664061127,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2565112980842053,0.014931964199175108,0.8604596327967807,0.1415218267364631,0.05076822429998039,0.3684058328276699,0.08434886818891739
120,0.21660039193339747,0.21660039193339747,0.019684141620427763,0.7088910177158216,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2561918523732058,0.018606344831542436,0.8501556212273642,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.09181087965233918
114,0.21666946419287575,0.21666946419287575,0.01968181109355655,0.7091385969411738,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.256468141411119,0.018597022724057572,0.8511459381287726,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.09118527494388265
85,0.21679968529283605,0.21679968529283603,0.011430257442217293,0.7302232549193828,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.26776933884725745,0.013046717243303257,0.9045758928571429,0.13107715073153095,0.026981160295987995,0.39131712682038833,0.06779335348801471
28,0.21710484010573844,0.21710484010573844,0.011367031524345022,0.7314493615592218,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.26898995809886705,0.01279381357181417,0.909480319416499,0.13107715073153095,0.026981160295987995,0.39131712682038833,0.06625556566797063
50,0.2171554857239357,0.2171554857239357,0.033726098130019935,0.6757289547087251,nan,nan,nan,nan,nan,0.2812074841105373,0.0012874605133729137,0.9810075431034483,0.1817349007851849,0.00442886109925881,0.625,0.24462900230943102,0.040396221945477054,0.7552109532193159,0.16105055569058954,0.08879184896197097,0.3416973225121359,0.1312138382294523
45,0.2171882315771107,0.2171882315771107,0.04341023658986903,0.6516332190452148,nan,nan,nan,nan,nan,0.2662773890444822,0.0013982584553785425,0.9284752155172413,0.1817349007851849,0.00442886109925881,0.625,0.2587374367611513,0.07408163178754339,0.720376949195171,0.1620031997176243,0.09373219501729538,0.3326807114684466,0.15276808416040893
80,0.2172639300232692,0.2172639300232692,0.03371721399010624,0.6761307201061765,nan,nan,nan,nan,nan,0.2812074841105373,0.0012874605133729137,0.9810075431034483,0.1817349007851849,0.00442886109925881,0.625,0.24462900230943102,0.040396221945477054,0.7552109532193159,0.16148433288792352,0.08875631240231621,0.34330438410194175,0.13083625052803036
98,0.21750376051912795,0.21750376051912793,0.04382548223990519,0.6516994562171846,nan,nan,nan,nan,nan,0.2662773890444822,0.0013982584553785425,0.9284752155172413,0.1817349007851849,0.00442886109925881,0.625,0.2595854565691349,0.07558953356298603,0.719575264084507,0.16241729567770966,0.09388527584199738,0.3337473452669903,0.15254266448517312
46,0.21755489124069072,0.21755489124069072,0.043825226169633316,0.6518790539183341,nan,nan,nan,nan,nan,0.2664819119307334,0.001397234174291028,0.9291936063218391,0.1817349007851849,0.00442886109925881,0.625,0.2595854565691349,0.07558953356298603,0.719575264084507,0.16241729567770966,0.09388527584199738,0.3337473452669903,0.15208692808077873
79,0.217573485505223,0.217573485505223,0.033707686388355064,0.6772379832973927,nan,nan,nan,nan,nan,0.2816284322302892,0.0012841154672324094,0.982489224137931,0.1817349007851849,0.00442886109925881,0.625,0.24544627611749437,0.040361456584612834,0.7581583249496981,0.16148433288792352,0.08875631240231621,0.34330438410194175,0.12990779790794374
88,0.2183160051595265,0.2183160051595265,0.017893862709897197,0.7193713612835997,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.26081256047822327,0.01355936535361713,0.8789455482897385,0.14409920856732703,0.05232293325639374,0.3735398968446602,0.07895763093650351
90,0.2183160051595265,0.2183160051595265,0.017893862709897197,0.7193713612835997,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.26081256047822327,0.01355936535361713,0.8789455482897385,0.14409920856732703,0.05232293325639374,0.3735398968446602,0.07916162027685071
91,0.21852123793000963,0.21852123793000963,0.017891167210303937,0.7200964147292738,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2616334915601557,0.013548583355244087,0.8818457620724346,0.14409920856732703,0.05232293325639374,0.3735398968446602,0.07794365792130897
22,0.21876353039534438,0.21876353039534438,0.017853113080283686,0.7210395736829961,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2626026614214948,0.01339636683516309,0.885618397887324,0.14409920856732703,0.05232293325639374,0.3735398968446602,0.07732006681963961
27,0.21888233735852577,0.21888233735852577,0.016867133035512273,0.7239203481660594,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2645652472243979,0.013522005067879298,0.8921733526156942,0.14261185061714957,0.04825337484459187,0.3785080400485437,0.07185601055248692
127,0.21895396520065033,0.2189539652006503,0.016873096119114354,0.7241561379044901,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.26485175859289595,0.013545857402287633,0.8931165115694165,0.14261185061714957,0.04825337484459187,0.3785080400485437,0.07145598686396447
52,0.21944922745976164,0.21944922745976164,0.08193767791281306,0.563228101327133,nan,nan,nan,nan,nan,0.20468530969711887,0.001843197943782502,0.7117905890804598,0.1817349007851849,0.00442886109925881,0.625,0.23501179231314032,0.08805511587823547,0.6024034834004024,0.2563649070436025,0.23342353672997546,0.3137183328276699,0.22585649470879854
84,0.22003472153573597,0.22003472153573597,0.01745520521190646,0.7264835123453097,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2655876247575931,0.013415984519785281,0.8960167253521126,0.1461990097927951,0.050711684098262634,0.3849173240291262,0.07040653754139922
122,0.22036836922235534,0.22036836922235534,0.017344034778146583,0.7279292053328772,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2664693723836481,0.0131508084598437,0.899765782193159,0.14665185291321756,0.05053217842316472,0.3869510391383495,0.06944982109761468
129,0.22036836922235534,0.22036836922235534,0.017344034778146583,0.7279292053328772,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.2664693723836481,0.0131508084598437,0.899765782193159,0.14665185291321756,0.05053217842316472,0.3869510391383495,0.06948722816485338
24,0.22042360303085895,0.22042360303085892,0.013955329262480748,0.7365942874518043,nan,nan,nan,nan,nan,0.28661735080737083,0.0012642911303191084,1.0,0.1817349007851849,0.00442886109925881,0.625,0.27150634691402303,0.012770480247036625,0.9183460135814889,0.14183581361685696,0.03735768457330845,0.40303113622572817,0.0625368624135664
102,0.220455422719281,0.220455422719281,0.05249420773594999,0.6403584601776084,nan,nan,nan,nan,nan,0.2589395656223567,0.0014342137103798488,0.9027029454022989,0.1817349007851849,0.00442886109925881,0.625,0.2583177520400401,0.07798979752406407,0.7091376383299799,0.1828294724295424,0.12612395861009723,0.32459325697815533,0.16356107763126415
