trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_tearing,phys_tearing,patch_tearing,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_beta,param_w_z_frac,param_sigma,param_beta_curl,param_beta_xpoint
4,0.2134283135270856,0.2134283135270856,0.03483383639209091,0.6599145063645724,nan,nan,nan,nan,nan,0.23896632588755748,0.003991314096986622,0.8264038553639846,0.1904271151331582,0.006764401403812749,0.6495838994565217,0.2675446477766102,0.06371932278262647,0.7771079602615694,0.15677516531101662,0.06486030728493779,0.3865623103762136,9.935639342817401,10.395947170474118,0.02298137250311738,4.268566851401075,2.3947566296568494
86,0.2202772651677288,0.2202772651677288,0.05282390705078739,0.6389106604600823,nan,nan,nan,nan,nan,0.23929474487072577,0.005055746267291908,0.8248922413793104,0.1817349007851849,0.00442886109925881,0.625,0.3047660113310923,0.13186922169853926,0.7370079854124748,0.1553134036839122,0.06994179913805958,0.3687424150485437,6.004985863772391,52.99289920180154,0.1938329946870386,2.2856679454331674,2.3094136405089722
30,0.22085346558652166,0.22085346558652166,0.04118565570229096,0.6700229902970983,nan,nan,nan,nan,nan,0.2532888732472577,0.003604662009762242,0.8774994013409961,0.20656397267696464,0.006020404139054777,0.7079228940217391,0.27954277315686515,0.09929184922041602,0.7301700829979879,0.14401824326499915,0.0558257074399308,0.3644995828276699,8.274247409100546,42.843970257128056,0.1838262290886851,4.824918659987318,0.841655831899581
185,0.22097459002689393,0.22097459002689396,0.048476417101420935,0.6522200223405764,nan,nan,nan,nan,nan,0.24141269021602646,0.0047342318196783445,0.8331088362068966,0.2221126427833288,0.014745064027095047,0.7405315896739131,0.283712852244201,0.11339832010365206,0.7094991825955734,0.13666017486401946,0.06102805245525829,0.32574048088592233,8.04207287333089,6.93514403804838,0.19919448989740984,4.253742161083631,1.7669244553749945
73,0.22142712684717306,0.22142712684717306,0.04413372982323602,0.6646606194070156,nan,nan,nan,nan,nan,0.2606790189052273,0.0024206935171266716,0.9063248323754789,0.1817349007851849,0.00442886109925881,0.625,0.26083663965280146,0.07306553595657797,0.7302643988933601,0.18245794804547855,0.09661982871998062,0.3970532463592233,7.947903380689302,26.85233560828491,0.17033955230992204,3.7435833393349527,1.7716184060785023
37,0.2225796317301963,0.2225796317301963,0.055718371893064764,0.6397327813230249,nan,nan,nan,nan,nan,0.2347815384999115,0.002652487233209413,0.8151041666666666,0.18275094220191837,0.004832297343555305,0.627547554347826,0.27569980860220167,0.08625953586601998,0.7493004904426559,0.19708623761675356,0.12912916712947436,0.36697891383495146,8.641982140276275,58.80980273779185,0.1996377418519603,3.990784176927437,0.8847209762802705
32,0.22595538212168115,0.22595538212168118,0.055142502828782164,0.6529875803539285,nan,nan,nan,nan,nan,0.2318006157302077,0.003358266236850084,0.8029064894636015,0.2206189151841729,0.016322323649146382,0.7313603940217391,0.29611416818670716,0.12316144511933765,0.7284959758551308,0.1552878293856369,0.07772797630979456,0.3491874620752427,8.579036957290063,59.02762367333138,0.18980948504365608,4.915520295031531,0.9148391472637935
15,0.22664675275625587,0.22664675275625587,0.04692933733172906,0.6759402913175728,nan,nan,nan,nan,nan,0.24298658155712421,0.013983896172310994,0.8154932950191571,0.21599254825538824,0.0080111708184131,0.735945991847826,0.2907983914234704,0.09511762223833138,0.7800003143863179,0.15680948978904063,0.07060466009786076,0.3723215640169903,9.782904327056352,119.09382914648171,0.12190154689048903,4.733812540610672,1.3894300951092209
146,0.2269940499453223,0.2269940499453223,0.05631543907729936,0.6536905771153796,nan,nan,nan,nan,nan,0.24581906685125848,0.0043957357373556865,0.8493773946360154,0.19249343027626103,0.0037978676041567267,0.6642323369565217,0.3174575967755438,0.14583336687409126,0.7465181715291751,0.1522061058782258,0.07123478609359377,0.35463440533980584,9.803433902975678,74.86563822200341,0.20437528781104125,2.482034733242101,0.9795027446052235
51,0.22789366029840694,0.22789366029840694,0.04633517635130982,0.6817898701661496,nan,nan,nan,nan,nan,0.2554211759949269,0.003949799649602595,0.8840996168582376,0.19902587773727293,0.008510549484355976,0.6753141983695652,0.2851659907835804,0.09019692432035252,0.7725886569416499,0.17196159667784747,0.08268343195092817,0.3951570084951456,9.926596475037277,92.5559807992858,0.15286970283808654,4.53098488418538,2.2047235892536374
