trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_threshold_amr
64,0.19659702305943982,0.19659702305943982,0.03728015144454286,0.5948892020966821,nan,nan,nan,nan,nan,0.2531050405651879,0.020915215744985317,0.8335796026156942,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09728355229129856
80,0.19659702305943982,0.19659702305943982,0.03728015144454286,0.5948892020966821,nan,nan,nan,nan,nan,0.2531050405651879,0.020915215744985317,0.8335796026156942,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09732703636491241
57,0.19685564976557385,0.19685564976557385,0.031332814015950755,0.6106627391396315,nan,nan,nan,nan,nan,0.2549766077156135,0.013679398689182803,0.8582196302816901,0.1387346918155342,0.04898622934271871,0.36310584799757284,0.08628920341882626
109,0.19697471071186667,0.19697471071186667,0.03722887140140124,0.5963393089880301,nan,nan,nan,nan,nan,0.25386041587004166,0.020812655658702092,0.8364798163983903,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09633270947436988
106,0.19699397980940986,0.19699397980940986,0.034570042771784076,0.6030538224034743,nan,nan,nan,nan,nan,0.2521304958509914,0.014703016122977447,0.8456991951710262,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08970987471692879
108,0.19711622560214606,0.19711622560214606,0.034005734650631746,0.6048924529809317,nan,nan,nan,nan,nan,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14104202443539282,0.05409756297168583,0.3584031780946602,0.0884241499395624
117,0.19711622560214606,0.19711622560214606,0.034005734650631746,0.6048924529809317,nan,nan,nan,nan,nan,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14104202443539282,0.05409756297168583,0.3584031780946602,0.08846156845981881
112,0.1975239452683638,0.1975239452683638,0.03417548787508418,0.6058950887515628,nan,nan,nan,nan,nan,0.2531904267688993,0.013913906329577664,0.8513817278672032,0.14185746376782832,0.0544370694205907,0.36040844963592233,0.08902965005085463
18,0.1975606893576285,0.1975606893576285,0.03687972440285213,0.5992631017445693,nan,nan,nan,nan,nan,0.2550323731615653,0.020114361661603873,0.8423274019114688,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09465103330026692
77,0.19766300553121108,0.19766300553121108,0.04007408626115948,0.59163530370634,nan,nan,nan,nan,nan,0.25523700550873046,0.026503085378218556,0.82707180583501,0.14008900555369172,0.05364508714410039,0.3561988015776699,0.09991583743917942
