# git_hash=7df4c91234c9c98d1c47a1d6614a9d87bad4b73a
task,metric,value,reference,status
t24/tearing,leak-free canonical ratio vs frontier,2.077112,2.077100,OK
t24/tearing,leak-free unseen phys,2.560021,2.560000,OK
t24/tearing,leak-free unseen ratio vs frontier,1.695367,1.695400,OK
t25,attempted,7.000000,7.000000,OK
t25,vacuous,2.000000,2.000000,OK
t25,refused,3.000000,3.000000,OK
t25,decidable,2.000000,2.000000,OK
t25,direction_held,1.000000,1.000000,OK
t26/dim2,no_ZZ,0.000000,0.000000,OK
t26/dim2,no_ZZZZ,0.000000,0.000000,OK
t26/dim2,Z_only,0.000000,0.000000,OK
t26/dim2,uniform,1.000000,1.000000,OK
t26/dim2,f1_full,0.333333,0.333300,OK
t26/dim2,f1_Zonly,0.333333,0.333300,OK
t26/dim2,f1_classical,0.388889,0.388900,OK
t26/dim2,f1_gain_from_couplings,0.000000,0.000000,OK
t26/dim2,full (control),0.000000,0.000000,OK
t26/dim4,no_ZZ,0.000000,0.000000,OK
t26/dim4,no_ZZZZ,0.031250,0.031200,OK
t26/dim4,Z_only,0.031250,0.031200,OK
t26/dim4,uniform,0.750000,0.750000,OK
t26/dim4,f1_full,0.519870,0.519900,OK
t26/dim4,f1_Zonly,0.552410,0.552400,OK
t26/dim4,f1_classical,0.552410,0.552400,OK
t26/dim4,f1_gain_from_couplings,-0.032540,-0.032500,OK
t26/dim4,full (control),0.000000,0.000000,OK
t26/dim8,no_ZZ,0.046875,0.046900,OK
t26/dim8,no_ZZZZ,0.069010,0.069000,OK
t26/dim8,Z_only,0.079427,0.079400,OK
t26/dim8,uniform,0.166667,0.166700,OK
t26/dim8,f1_full,0.591570,0.591600,OK
t26/dim8,f1_Zonly,0.648062,0.648100,OK
t26/dim8,f1_classical,0.648062,0.648100,OK
t26/dim8,f1_gain_from_couplings,-0.056492,-0.056500,OK
t26/dim8,full (control),0.000000,0.000000,OK
t26/control,greedy at dim2 (Z_only),0.000000,0.000000,OK
