trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_grad,param_beta_curl,param_beta_xpoint
6,0.1594455816470639,0.1583426590497986,0.16284258324664108,0.1470928485576923,nan,nan,nan,nan,nan,0.1434770034112658,0.0381754970834644,0.40673076923076923,0.2620880013670518,0.3442669519138725,0.056640625,0.17763992761306407,0.22369589865828968,0.0625,0.050165703807812656,0.04523198533093771,0.0625,0.7659020170729317,0.6036832980170763,0.7861787293582458,3.2176779372596886,7.184613808396653,0.4053850346425618,0.43319125381732965,0.8663825076346593,0.21659562690866482
36,0.1617633605850321,0.16011209899433554,0.16684924628437744,0.14326923076923076,nan,nan,nan,nan,nan,0.1417381150139557,0.03951509178876873,0.3972956730769231,0.27090464954250976,0.3589540093595136,0.05078125,0.17763992761306407,0.22369589865828968,0.0625,0.050165703807812656,0.04523198533093771,0.0625,0.6880425345205792,0.6707396818570198,0.7316345525029209,3.4935671092977634,9.013092041751035,0.2563394975979904,0.3687462755892876,0.3687462755892876,0.3687462755892876
21,0.16735192232107535,0.16799186057537496,0.16538091249783257,0.17451923076923076,nan,nan,nan,nan,nan,0.17325716133811322,0.03364175664258928,0.522295673076923,0.27090464954250976,0.3589540093595136,0.05078125,0.17763992761306407,0.22369589865828968,0.0625,0.050165703807812656,0.04523198533093771,0.0625,0.5707464616752698,0.6578096630899084,0.8843851549875001,3.0145174958314995,10.69677084276053,0.26801757790900826,0.5778537617181949,0.28892688085909746,0.14446344042954873
38,0.17569982540658619,0.1764948514047962,0.17325114533209926,0.18460411658653847,nan,nan,nan,nan,nan,0.2059699777512622,0.06213200731330552,0.5655649038461539,0.27220379644704584,0.3619446900258641,0.0478515625,0.17763992761306407,0.22369589865828968,0.0625,0.050165703807812656,0.04523198533093771,0.0625,0.6880425345205792,0.6707396818570198,0.7316345525029209,3.4935671092977634,9.013092041751035,0.2563394975979904,0.3687462755892876,0.7374925511785752,0.1843731377946438
84,0.1806802110348674,0.17758173805871164,0.19022350780142705,0.14597731370192307,nan,nan,nan,nan,nan,0.18707029050454152,0.08810032978328117,0.4344951923076923,0.2954510303094283,0.40386581743319966,0.0244140625,0.17763992761306407,0.22369589865828968,0.0625,0.050165703807812656,0.04523198533093771,0.0625,1.9393811012872646,0.6982362558735886,2.14494452308192,2.5858443801358066,11.885670879769892,0.4274986358127286,0.8038376115337511,1.5513681588132506,0.6840188684141705
7,0.19571828641479172,0.19654665027204787,0.19316692573444277,0.2049959616160606,nan,nan,nan,nan,nan,0.1866942483582718,0.03178060154773436,0.5739783653846153,0.25640909881395163,0.33514461333953227,0.0595703125,0.26232819836859944,0.3350567338136002,0.08050685975609756,0.0807550555473686,0.07068575423690426,0.10592830882352941,0.7659020170729317,0.6036832980170763,0.7861787293582458,3.2176779372596886,7.184613808396653,0.4053850346425618,0.21659562690866482,0.21659562690866482,0.8663825076346593
52,0.15083482491540795,0.1983632505628081,0.004447273921415456,0.6831531921662897,nan,nan,nan,nan,nan,0.21742907544730677,0.005794936395460204,0.7465144230769231,0.2014585920544989,0.007823278876298393,0.685546875,0.18097655240347887,0.0033671733648704114,0.625,0.1935887823459478,0.0008037070490328147,0.6755514705882353,4.441275041962883,0.2481770355189367,2.3569820001699866,1.1566209652881896,13.28512278152799,0.49259437288557695,1.480729077009881,0.8161027673009308,1.356933878340058
9,0.1603944879820475,0.20578515658782698,0.02059122867624657,0.6687699763667778,nan,nan,nan,nan,nan,0.2047250143800365,0.002336173978204975,0.7106971153846153,0.22661927942283105,0.07234511619196343,0.6123046875,0.20030372857653453,0.0068733907388556365,0.6838795731707317,0.19149260397190582,0.0008102337959622341,0.6681985294117647,0.8,0.3,2.0,0.5,15.0,0.1,2.0,1.0,0.5
42,0.15623067025475318,0.20598369434235886,0.002991356064927583,0.713464540035937,nan,nan,nan,nan,nan,0.23736694405214326,0.0016166062883851244,0.8267427884615385,0.2072111702198621,0.005330013307806893,0.7119140625,0.18482000560188133,0.0041748371109265135,0.6364329268292683,0.19453665749554877,0.0008439675525918011,0.6787683823529411,1.1293931448360415,0.22231192587760315,2.918609436364993,1.0400589964245692,13.384185758173082,0.12140560257802117,1.9002689254084897,1.3562054777204222,0.3384137120594697
29,0.16207837876325792,0.20836143818631264,0.019526555740249394,0.6804486443014706,nan,nan,nan,nan,nan,0.22661175200894831,0.0016314528125275518,0.7890625,0.23159084221682677,0.0722740541035575,0.6298828125,0.18097655240347887,0.0033671733648704114,0.625,0.1942666061159965,0.0008335426800421153,0.6778492647058824,0.5,0.3,2.0,0.5,15.0,0.2,2.0,1.0,0.5
