trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_grad,param_beta_curl,param_beta_xpoint
81,0.21448910814585587,0.21448910814585587,0.03464640079337205,0.6640958765270653,nan,nan,nan,nan,nan,0.2139173182688521,0.001896841361833526,0.7439685105363985,0.24842733942786815,0.13119465677796277,0.5415090460526316,0.1817349007851849,0.00442886109925881,0.625,0.21387687410151818,0.0010652439344331173,0.7459059495192307,0.7195214586530685,0.31664075322681756,2.127954180842541,0.5856664745040279,12.558640989350833,0.18025573468258707,1.744060606058018,0.9404606759980869,1.666084305818531
28,0.21487798748246517,0.21487798748246517,0.03142289239317075,0.6735157252057011,nan,nan,nan,nan,nan,0.2026524770399984,0.0030561402697908005,0.7016433189655172,0.25685264851051626,0.11702791844103848,0.6064144736842105,0.1817349007851849,0.00442886109925881,0.625,0.2182719235941612,0.0011786497625948943,0.7610051081730769,0.5,0.3,2.0,0.5,15.0,0.2,1.0,1.0,1.0
67,0.2181207752370094,0.2181207752370094,0.04291063429259338,0.6561461275980494,nan,nan,nan,nan,nan,0.21389177782325136,0.002393891251402436,0.7426364942528736,0.26153458016678116,0.1611730832861252,0.512438322368421,0.1908028034344919,0.006729903069158212,0.650985054347826,0.20625393952351323,0.0013456595636876859,0.7185246394230769,0.6296840503800761,0.3333341116661679,1.5124358086427063,0.7379293168403915,14.016113340412279,0.22534446570127165,1.7946739551454762,0.6347337843569475,1.872723552455933
152,0.2190150106671795,0.2190150106671795,0.028173636606040376,0.6961184458200271,nan,nan,nan,nan,nan,0.23730551981129275,0.0015883599197178979,0.8265984195402298,0.2333171208360543,0.10546798232837071,0.5529399671052632,0.1817349007851849,0.00442886109925881,0.625,0.22370250123618593,0.0012093430768140836,0.7799353966346154,0.5064098992236274,0.29675015686741374,1.7671698292984586,0.9836846404836048,14.424727389386799,0.3915920662553198,1.9807199219037797,0.3367901056965908,1.4953966262716023
163,0.21957262537883937,0.21957262537883937,0.01823017535877566,0.7229287504289986,nan,nan,nan,nan,nan,0.23520259055193796,0.0016076210255866307,0.8191900143678161,0.23643025447935417,0.06617505363951683,0.6620682565789474,0.1817349007851849,0.00442886109925881,0.625,0.22492275569888048,0.0007091656707403615,0.7854567307692307,0.5861777736616554,0.260304498995589,2.0688384093764456,1.0185313856201232,14.985670526976895,0.3408067278747126,1.7025234167645444,0.313756724436581,0.1979152470035629
92,0.21998510878016211,0.21998510878016211,0.030238671037567073,0.6943512031366497,nan,nan,nan,nan,nan,0.20358171850522494,0.0018965898153608669,0.7077945402298851,0.23483390902591997,0.1034467489520774,0.5633018092105263,0.21422488309104673,0.014503830892682784,0.7135275135869565,0.22729992449845682,0.0011075144901472466,0.7927809495192307,0.5440436516105709,0.2921002062801383,1.9433099969753143,0.8473856588139062,13.684784949602452,0.21458977371826776,0.9209184487972255,0.7075027812139957,1.4710412473201455
130,0.22151944543653002,0.22151944543653002,0.0502561972102799,0.6496775660021552,nan,nan,nan,nan,nan,0.22813912797656857,0.0016684860637476914,0.7943157327586207,0.26533035825031365,0.19365000155043907,0.44453125,0.1817349007851849,0.00442886109925881,0.625,0.21087339473405287,0.0012774401276740206,0.73486328125,0.6329010494908233,0.33124388537977195,1.9630257702050924,0.2134634250200811,14.378129315820418,0.32785542932011863,1.9167066072774763,0.4660818560910447,1.9844309407147371
66,0.22154332603842108,0.22154332603842108,0.0273033714505105,0.7071432125081974,nan,nan,nan,nan,nan,0.24495729739685598,0.0015249864705408653,0.8535380747126436,0.24428920662951079,0.10239140243920979,0.5990337171052632,0.1833918282669987,0.004710516095537231,0.6300951086956522,0.2135349718603189,0.0005865807967541255,0.7459059495192307,0.6375536320706972,0.27046876835331546,1.8281623067977366,0.7307625786170651,14.279216230101266,0.2275866698987373,1.7592935572964172,0.67439713325303,1.9107993170091124
14,0.22163943511842205,0.22163943511842205,0.030196345929245316,0.7002471580913638,nan,nan,nan,nan,nan,0.24182164885163443,0.002409264330985509,0.8403526101532567,0.24885124582601037,0.10869602047220397,0.5992393092105263,0.19242416454670208,0.00899980862625245,0.650985054347826,0.2034606812493413,0.0006802902875393326,0.7104116586538461,0.8,0.3,2.0,0.5,15.0,0.2,1.0,2.0,0.5
148,0.221796361850868,0.221796361850868,0.03207777045227973,0.6960928403473385,nan,nan,nan,nan,nan,0.23686488494235533,0.0017916339384544833,0.8245480124521073,0.24814416911320514,0.12017321833743455,0.5680715460526315,0.1817349007851849,0.00442886109925881,0.625,0.22044149256272663,0.0019173684339710965,0.7667518028846154,0.5627544128356126,0.2944764803230727,2.18733966811087,0.5200264339744476,14.41066910127993,0.394215406263617,0.5484477305848059,0.390194056598409,0.213816135784708
