trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_michelson
31,0.13301884543815462,0.19808713790091953,0.07836147976943211,0.497401283229638,nan,nan,nan,nan,nan,0.1708783474019319,0.00483064790116614,0.5859975961538462,0.25737684842993985,0.29392133780191576,0.166015625,0.18097655240347887,0.0033671733648704114,0.625,0.18311680336832747,0.011326760009776091,0.6125919117647058,0.5,0.5,2.0,0.5,15.0,0.2,1.0
44,0.09716281461594709,0.19874994678041924,0.011829623597790507,0.6660507547369909,nan,nan,nan,nan,nan,0.20306123743569807,0.0017616939484388118,0.7063100961538461,0.20767545729146555,0.04113626520805175,0.6240234375,0.18097655240347887,0.0033671733648704114,0.625,0.20328653999103438,0.0010533618698010598,0.7088694852941176,0.8,0.3,2.0,0.5,1.0,0.1,1.0
73,0.09549988938645806,0.20003728553775313,0.0076884766193702075,0.6809093078337103,nan,nan,nan,nan,nan,0.21736759969454533,0.0016704088031326975,0.7566105769230769,0.19790387668988846,0.024721677365843776,0.630859375,0.18097655240347887,0.0033671733648704114,0.625,0.2039011133630999,0.000994646943633945,0.7111672794117647,0.6229528408799025,0.26345409249796403,1.848483109621864,0.34865455552128827,1.8955578253481664,0.2525707718211099,1.3342065976390711
76,0.10571642377529322,0.20147083916498715,0.02528271484795032,0.6419411499575791,nan,nan,nan,nan,nan,0.19986937321961307,0.0029180840459197928,0.6922475961538461,0.2370404767142913,0.09396604240000776,0.5947265625,0.18097655240347887,0.0033671733648704114,0.625,0.18799695432256538,0.0008795595810032978,0.6557904411764706,1.2669043784027993,0.33843924624671257,1.690682777769399,0.2543125941304234,13.843847788682915,0.12960672236494117,0.6387822565970213
105,0.0947422341965493,0.2026696864652759,0.004083174290818949,0.6991359669014182,nan,nan,nan,nan,nan,0.19822150541713543,0.0017649152762973116,0.6893629807692307,0.19829521403519593,0.008082049649274262,0.673828125,0.1897816332812162,0.005404652447361154,0.6507240853658537,0.22438039312755598,0.001081079790343066,0.7826286764705882,0.7109687200183373,0.27646632847064423,1.7908335167420166,0.28433176183845565,4.524768902572536,0.25956882915206425,0.14941034333101452
199,0.09821870052535321,0.2029041056790959,0.010282960196209353,0.6844569693863122,nan,nan,nan,nan,nan,0.19122182471966837,0.003071131530612607,0.6615985576923077,0.2256706694255166,0.03351706219572324,0.7060546875,0.18097655240347887,0.0033671733648704114,0.625,0.21374737616771972,0.001176473693631152,0.7451746323529411,0.6317771891773157,0.2623007753643664,1.9586236684818195,0.1343027694574836,2.3769793674964323,0.2089792666259823,0.11181890728453768
169,0.09878800325345591,0.202976577118486,0.011269601206830609,0.6822440168976244,nan,nan,nan,nan,nan,0.20141498608003097,0.0017646343581972045,0.7005408653846154,0.21656268175860227,0.036390879462043155,0.6669921875,0.18958231339206216,0.006040238748886992,0.6484375,0.20434632724324864,0.0008826522581950895,0.7130055147058824,0.5361377367676246,0.2687230798982556,1.9029316185579406,0.24108375840595656,1.949332685327295,0.21283016100416655,1.0696925238304533
46,0.10617198210059586,0.20307523812965292,0.024773247036187947,0.6488302158633152,nan,nan,nan,nan,nan,0.20165837127090386,0.005350565933111564,0.6924278846153846,0.23580503852279258,0.08793955393190962,0.60546875,0.19037040228226654,0.00508563636590484,0.6535823170731707,0.18446714044264867,0.0007172319138257669,0.6438419117647058,0.8,0.3,2.0,0.5,15.0,0.1,1.0
48,0.13106710056170892,0.20385227884148294,0.06992755080669873,0.5386640989284434,nan,nan,nan,nan,nan,0.1481692258924047,0.00712441624936655,0.50078125,0.2642269763182764,0.2648396418455869,0.2626953125,0.20442160796649655,0.006464641396997604,0.6993140243902439,0.19859130518875406,0.0012815037348438425,0.6918658088235294,0.8,0.4,2.0,0.5,1.0,0.1,0.3
117,0.09752793064606272,0.20393192639567498,0.008148574216388399,0.6933903068438914,nan,nan,nan,nan,nan,0.2114851456428952,0.0017282423615917065,0.7358774038461539,0.21323092065120758,0.026648288911690587,0.6796875,0.18097655240347887,0.0033671733648704114,0.625,0.21003508688511832,0.0008505922274008972,0.7329963235294118,0.8707752771074936,0.24424962065553885,1.939864287783605,0.3089530559309002,1.3785788272335515,0.2759249796285369,1.1107438361070563
229,0.09961669444852761,0.2039947079314616,0.011939163122863087,0.6841335699529578,nan,nan,nan,nan,nan,0.21897458540807904,0.0016846118790029504,0.7621995192307692,0.2024681605603164,0.03892417478444297,0.611328125,0.20251326476549442,0.006422534086326292,0.6927400914634146,0.19202282099195644,0.0007253317416801382,0.6702665441176471,0.5013511634416208,0.28717716117171316,1.9568238310266173,0.3040714683983219,5.8327729703712725,0.22282330443405185,1.046729929343005
225,0.10040500014735418,0.20430707343834864,0.01312725858291884,0.6822566105769231,nan,nan,nan,nan,nan,0.22329823209958363,0.0022569480163401327,0.7759014423076923,0.205947556337161,0.04613907887202538,0.60546875,0.18097655240347887,0.0033671733648704114,0.625,0.20700595291317103,0.000745834078439427,0.72265625,1.7137307156440624,0.2878625918926176,1.9544802492979143,0.3570455667347321,1.5386979584757785,0.06943008941092989,1.0415466200680994
95,0.09459432777846102,0.20441328278590298,0.0023464055722098084,0.7095804758201358,nan,nan,nan,nan,nan,0.23904883340616406,0.001591443691706542,0.8326923076923077,0.19727121306204887,0.0035234482868683895,0.681640625,0.18097655240347887,0.0033671733648704114,0.625,0.20035653227192002,0.0009035569453938914,0.6989889705882353,0.7163920552307014,0.23006642319560178,1.9083532547193414,0.4051237908845003,1.5841207477456347,0.28490763621377363,0.8597669970712498
238,0.09550094093692602,0.2044706631027355,0.003966374317646054,0.7057313850654591,nan,nan,nan,nan,nan,0.20325476310133073,0.0017441683418629652,0.70703125,0.19391637469244682,0.007029799569425514,0.6611328125,0.19469651695314666,0.006111709100258918,0.6661585365853658,0.2260149976640179,0.000979820259036819,0.7886029411764706,0.5473829918693603,0.2729529200864721,1.9077275634430413,0.3076227743444875,5.717419671637271,0.22106420106981045,0.9357112555411202
209,0.09514810039487326,0.20447967660145577,0.003309576381343923,0.7074049271517355,nan,nan,nan,nan,nan,0.2102975884239728,0.0019647007166388275,0.7311298076923077,0.19802645295397409,0.004190159135563721,0.6826171875,0.1913063949048341,0.0061673675009140455,0.6541539634146342,0.21828827012304222,0.0009160781722590978,0.76171875,1.528273256277701,0.24830831712362317,1.912362956050471,0.27669963319823254,1.8848256367945375,0.20932330319861045,1.2035459556023067
211,0.09901072068907578,0.20475070443900997,0.010189134339131085,0.6911546296887071,nan,nan,nan,nan,nan,0.18031749038804804,0.00258871731249797,0.6246394230769231,0.2122103198579253,0.03186007280109535,0.6630859375,0.18649907750463543,0.005267915823562761,0.639576981707317,0.23997593000543113,0.0010398314193682612,0.8373161764705882,0.5188306632966466,0.2753010179594259,1.9056512592575698,0.26684767584132774,1.9576098344659587,0.2247555036639404,0.11409420570746504
230,0.09603658076148434,0.2053823751254444,0.004186113495757885,0.7083730291996606,nan,nan,nan,nan,nan,0.2449690599309347,0.0015864915956162607,0.8534254807692307,0.1900293850660817,0.010963014092514402,0.6376953125,0.18097655240347887,0.0033671733648704114,0.625,0.2055545031012823,0.000827774930030466,0.7173713235294118,0.5434572080779426,0.2926916581560281,1.9617374797065847,0.3056782331187471,1.6348610679769229,0.2204402841251135,1.0812686402262304
98,0.0993910859424385,0.20541492391593935,0.010331062044697808,0.6931245785940432,nan,nan,nan,nan,nan,0.18107871331543332,0.005000583256991202,0.6212740384615385,0.21525106711833997,0.02908586896567596,0.6806640625,0.1911552167221239,0.005955718045119797,0.6541539634146342,0.23417469850786024,0.001282077911004269,0.81640625,0.7132965937746495,0.276252856972149,1.9045995850690234,0.4218187771417904,1.5674085970680705,0.299585424118441,0.17819976604584922
213,0.0975574478327426,0.20578888440672763,0.006643041110595164,0.7036534926470588,nan,nan,nan,nan,nan,0.25762715731692115,0.0019280202436896085,0.896875,0.19875422351999736,0.020443412927996302,0.64453125,0.18097655240347887,0.0033671733648704114,0.625,0.1857976043865132,0.0008335579058243307,0.6482077205882353,0.5176907468706208,0.280856840863158,1.9604084293086783,0.3075920916664324,1.992615198044936,0.0848802553505825,1.1880184549382529
242,0.1045382160907563,0.2063042851408879,0.019054718088645756,0.6744282027714932,nan,nan,nan,nan,nan,0.20037918753251752,0.0019972086993706424,0.6963341346153846,0.21941756217430208,0.06968458704402287,0.59375,0.18097655240347887,0.0033671733648704114,0.625,0.22444383845325316,0.001169903246319086,0.7826286764705882,0.548781365088041,0.3088630271570896,1.888566338664559,0.2695031240594012,5.665819918630226,0.20901032763021996,0.9535467588953616
69,0.09567837020619725,0.20682666607374772,0.0023138016774548894,0.7181088270644795,nan,nan,nan,nan,nan,0.24085271183836468,0.0015928350352489309,0.8390024038461539,0.19270652874170965,0.0033828902383934737,0.666015625,0.18097655240347887,0.0033671733648704114,0.625,0.21277087131143763,0.0009123080713067426,0.7424172794117647,0.6274474231802809,0.2545559713038728,1.8188406459921582,0.32284918356400205,2.1037228669278525,0.24069125183139117,1.287024942174545
