trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_ot,phys_ot,patch_ot,new_loss_rotor,phys_rotor,patch_rotor,param_beta,param_threshold_amr,param_gamma_hydro,param_gamma_mag,param_kappa,param_w_z_frac,param_beta_grad,param_beta_curl,param_beta_xpoint
123,0.18811205129541075,0.18811205129541075,0.06369370775641658,0.49915791014289623,nan,nan,nan,nan,nan,0.22734897292443332,0.0544901466012489,0.6594960387323944,0.14887512966638822,0.07289726891158427,0.33881978155339804,1.7709997543745462,0.13481085527230813,1.2497418135304397,3.400463206235539,5.4447032809956415,0.07230132354812575,0.6698223307332885,1.25686575637166,0.17668125552015015
130,0.18905514315970678,0.18905514315970678,0.06727745570222735,0.49349936180340537,nan,nan,nan,nan,nan,0.2538857213160039,0.09070157925890444,0.6618460764587525,0.1242245650034097,0.04385333214555025,0.32515264714805825,1.7743022997709772,0.13441121611649756,1.301518429138376,3.0062851639165857,6.955411338572091,0.20987850457955712,0.8556072195114737,1.4631737607056678,0.24580254229724313
102,0.1995094331128206,0.1995094331128206,0.07711263948584243,0.5055014171802661,nan,nan,nan,nan,nan,0.256339200547057,0.09120008197312332,0.6691869969818913,0.1426796656785842,0.06302519699856153,0.3418158373786408,1.7920311427835551,0.12131034241399906,1.1303141494261375,0.6003010209163409,8.36249612758939,0.08201731897218283,0.7762131631362897,0.24606907916487988,0.3226178376118616
97,0.20007798860617398,0.20007798860617398,0.07075658979684638,0.5233814856294929,nan,nan,nan,nan,nan,0.24410955450279018,0.0777034517566225,0.6601248113682092,0.1560464227095578,0.06380972783707024,0.3866381598907767,0.7136667242004338,0.12268737676545537,1.5550781477524749,3.0443384187418783,8.329419791575969,0.10020400107204505,0.21770497103014722,0.15006324982043845,0.30723194747461124
104,0.201510225997989,0.201510225997989,0.08883472264840553,0.48319898437194775,nan,nan,nan,nan,nan,0.24494029577949933,0.08757499055005154,0.6383535588531187,0.15808015621647872,0.0900944547467595,0.3280444098907767,0.9376855487309009,0.12170714737937137,1.3693469949532693,0.9178103100139207,9.32280100810097,0.06670238557655042,0.6362272106875343,0.24993752143130524,0.310966922638322
94,0.20183650719682772,0.20183650719682772,0.0624440121573456,0.550317744795533,nan,nan,nan,nan,nan,0.23131205935918364,0.028206852921770532,0.7390750754527163,0.1723609550344718,0.09668117139292068,0.3615604141383495,1.7889256142025483,0.10290833980441412,1.5167352077993104,3.035041499716522,6.588568962721605,0.27447477769654216,0.4986346852262402,1.9636826152675086,0.4655419232560337
77,0.2019399161540769,0.2019399161540769,0.0569375666336502,0.5644457899551435,nan,nan,nan,nan,nan,0.23942830300059,0.04393956383865293,0.7281501509054326,0.16445152930756377,0.06993556942864747,0.4007414290048544,1.2603290241999836,0.10328780971991533,3.1658306811116037,2.63617243145581,9.930619540524093,0.07772773598732421,0.4655951404639107,0.16877066466113821,0.41740342270540004
90,0.2068412636201602,0.2068412636201602,0.0684260846138035,0.5528792111360518,nan,nan,nan,nan,nan,0.2613988393845437,0.07693360149650999,0.7225619341046278,0.15228368785577664,0.05991856773109701,0.3831964881674757,0.936760151818652,0.10190472674804363,1.456939245151822,0.8842470622080575,9.301928799233071,0.08152415503570883,0.5613322487050202,0.15019789850765897,0.31347849430045543
143,0.20843675280209267,0.20843675280209267,0.06396658014445795,0.5696121844461794,nan,nan,nan,nan,nan,0.2559727800789499,0.060361389092421225,0.7450012575452716,0.16090072552523546,0.06757177119649468,0.3942231113470874,2.037301796994983,0.10713794291393683,1.486860874596544,1.0854342812990536,5.943407152617834,0.08441394390303408,0.8526911823784389,1.3614762915836083,0.3565069176621348
111,0.2093698156749409,0.2093698156749409,0.09400973490693691,0.49777001759495076,nan,nan,nan,nan,nan,0.2485469780301031,0.08157052276327104,0.6659881161971831,0.1701926533197787,0.10644894705060279,0.32955191899271846,1.0951295878304272,0.11839433934093058,1.324498988400562,3.1480274030204787,6.3911507619102075,0.278997053332599,0.5170655542200284,1.9893805340306214,0.19592759808837218
96,0.2113446068063569,0.2113446068063569,0.11616400307957261,0.44929611612331755,nan,nan,nan,nan,nan,0.2828143353137806,0.16576212678335725,0.575444856639839,0.1398748782989332,0.06656587937578798,0.32314737560679613,0.8637728834745703,0.1518902230066067,1.5194859977975688,2.957073767932071,6.327961875582885,0.2527415594844899,0.40580943868986835,1.9594204881553987,0.3094632889526737
89,0.2134493970803962,0.2134493970803962,0.07732920085758899,0.5537498876374143,nan,nan,nan,nan,nan,0.2686733630327112,0.08639484607275749,0.7243696554325956,0.15822543112808118,0.06826355564242047,0.383130119842233,1.1595961894517897,0.10393855359716314,1.4348513594083463,0.8111359185132411,9.400222138087303,0.10016926417608298,0.5124598402465421,0.15099857898285698,0.23497758902490196
27,0.21576860528349323,0.21576860528349323,0.10494199345247156,0.49283513486104735,nan,nan,nan,nan,nan,0.25119999823548456,0.09431078223792781,0.6434230382293763,0.18033721233150193,0.1155732046670153,0.34224723149271846,1.4453267643415315,0.15798616694209966,2.9101230886177563,1.5865784492096215,10.611206813016242,0.09877104573428215,0.2776520426689031,0.16041995057723016,0.8568232824443194
72,0.2161909917253446,0.2161909917253446,0.10198427921721026,0.5017077729956804,nan,nan,nan,nan,nan,0.255037060388175,0.09364645194787152,0.6585135814889336,0.1773449230625142,0.11032210648654898,0.34490196450242716,1.5771858031984227,0.12378656904886408,2.404753384443878,2.197265084425963,9.590427971049978,0.092247398267242,0.23456634285103042,0.13251316466120883,0.22757888914996627
92,0.21645812346854554,0.21645812346854554,0.10126040679564552,0.5044524151507955,nan,nan,nan,nan,nan,0.26889452660713364,0.12023377588177779,0.6405464034205232,0.16402172032995746,0.08228703770951326,0.36835842688106796,0.9230972795135634,0.10164625333998262,1.5458922677135476,0.7633107901771548,12.84109147384206,0.17910086913990264,0.5471925600080972,0.16490199055384167,0.31670628476482654
66,0.21971736266924505,0.21971736266924505,0.0734381361778555,0.5854154288977188,nan,nan,nan,nan,nan,0.2715747514203394,0.0735019356906884,0.7667567907444668,0.16785997391815072,0.07337433666502259,0.4040740670509709,1.6551739897916873,0.10006497979867336,2.952461368508807,2.1253093302742205,9.740504025098213,0.09391487959350327,0.23644438439018442,0.1303406172799029,0.4233703721758968
91,0.2215797535481604,0.2215797535481604,0.09151125475058955,0.5467510005420875,nan,nan,nan,nan,nan,0.2534224499044152,0.06717825079173459,0.7190329476861167,0.18973705719190556,0.11584425870944451,0.37446905339805825,0.9078282765512239,0.10373751672683018,1.4938759212071604,0.8608684242293563,9.263634918784978,0.08135673716149149,0.57304119918146,0.16769584282429087,0.3102427017990027
137,0.22217542450285266,0.22217542450285266,0.10592158568919814,0.512810021536989,nan,nan,nan,nan,nan,0.2755253740992256,0.11388253078116932,0.6796324823943662,0.16882547490647973,0.09796064059722696,0.34598756067961167,1.5062059794231044,0.13159660008325574,1.612165539013695,3.3358760215731764,7.232174381662533,0.41847085117139493,0.6961908045789533,0.8361312495331639,0.2721227604155549
25,0.22393144946527843,0.22393144946527843,0.10144393354364815,0.530150239269354,nan,nan,nan,nan,nan,0.2780789720884374,0.11287695931415435,0.6910840040241448,0.16978392684211943,0.09001090777314195,0.36921647451456313,1.587248823681786,0.11756643954368445,1.1727437134734175,1.3079063079013182,10.843487167588776,0.10178188749812621,0.245600793240554,0.16790267133471531,0.11894243533718278
100,0.22705660041540193,0.22705660041540193,0.11005147147908373,0.5195694227561973,nan,nan,nan,nan,nan,0.2718209755425972,0.11496209211778492,0.6639681841046278,0.18229222528820668,0.10514085084038254,0.375170661407767,0.6716375858993123,0.12235299078520706,1.9360989724307067,1.8654146563346126,8.31771322579048,0.06722308834260388,0.4113939366741271,0.1508354239489873,0.22942279389617823
108,0.22907962511299734,0.22907962511299734,0.10263235228686635,0.5451978071783248,nan,nan,nan,nan,nan,0.25643122851718075,0.0860755257590631,0.6823204854124748,0.20172802170881396,0.11918917881466959,0.40807512894417475,0.6808937432069667,0.11862940084822898,1.7575144145847836,3.2113902869964783,6.48796054433881,0.26207775016018886,0.7901507570572875,1.9726396918089284,0.32330957478008154
129,0.23167666225515582,0.23167666225515582,0.13794599860031842,0.4660033213922491,nan,nan,nan,nan,nan,0.24588276436815995,0.09743632283172163,0.6169988682092555,0.21747056014215166,0.1784556743689152,0.3150077745752427,0.9856995117924706,0.16933297537759776,1.2932992257425229,3.0157960686230223,5.092353854029136,0.07068334666481271,0.8909562198976307,1.508925572426841,0.2910751739800118
76,0.24127277529289884,0.24127277529289884,0.13233873462122342,0.5136078769720873,nan,nan,nan,nan,nan,0.2688496666775173,0.10920203334852421,0.66796875,0.21369588390828037,0.1554754358939226,0.35924700394417475,1.2901382629228924,0.1323666520057019,1.585274814218069,2.5667704853907773,9.829514374833023,0.0780854289826384,0.4316876447207754,0.17476442176607596,0.4227329500471051
136,0.24226108152422177,0.24226108152422177,0.1268514904285716,0.5307850592633471,nan,nan,nan,nan,nan,0.26226878671229464,0.09031827825837946,0.6921450578470825,0.2222533763361489,0.16338470259876375,0.36942506067961167,1.5152006943181384,0.13435663829739183,1.6129908232754533,3.308587956063102,7.2691916759488775,0.06791462156636313,0.7080278493580422,1.6941571978409296,0.2093138980138772
84,0.24439268208398013,0.24439268208398013,0.17249208270102045,0.42414418054137937,nan,nan,nan,nan,nan,0.2804921780680669,0.18031165995927761,0.5309434733400402,0.2082931860998933,0.16467250544276327,0.31734488774271846,0.9054646268326954,0.17765367634001927,1.6784164554563146,2.6578940594693834,7.743081557524816,0.10345175222493722,0.30421121467338536,0.12683724802745303,0.23320187312698426
128,0.24572358780059006,0.24572358780059006,0.1623715222938848,0.45410375156735316,nan,nan,nan,nan,nan,0.2685616170895932,0.13990100235601396,0.5902131539235412,0.22288555851158692,0.18484204223175565,0.31799434921116504,1.799083447590833,0.16467918680671642,1.2659485532949506,3.364308650054612,9.496263248038542,0.3363403405789674,0.7037954652346873,1.5133227717585422,0.24384089867182007
75,0.24755281332126905,0.24755281332126905,0.14840459987745824,0.4954233469307959,nan,nan,nan,nan,nan,0.30307375280645865,0.16138197626304612,0.65730319416499,0.19203187383607942,0.1354272234918704,0.33354349969660196,1.1963512181837792,0.14325765233845075,1.4494629365911909,2.6389860624596753,9.916201884673326,0.09668182002295293,0.23222333672385925,0.1152825709843913,0.29822756181089255
81,0.2520250173567534,0.2520250173567534,0.16824999210995856,0.4614625804737405,nan,nan,nan,nan,nan,0.25391602757800075,0.11336410359914066,0.6052958375251509,0.25013400713550604,0.22313588062077644,0.3176293234223301,1.3281081147432185,0.17361056888855786,1.6779038230933425,2.5981611122077846,7.515597618562936,0.1755756770988018,0.442131410121229,0.10769889739405036,0.26161748472339164
22,0.25665468586802975,0.25665468586802975,0.14592860009713005,0.533469900295279,nan,nan,nan,nan,nan,0.26106077841580494,0.07349565316240855,0.7299735915492958,0.2522485933202546,0.21836154703185157,0.3369662090412621,1.648291316137727,0.11196591588032323,3.002985268742768,2.3050189354101556,10.518430754715412,0.08010351462196566,0.14124939929268204,0.14365455028971083,0.10161770100793784
115,0.2601686457344248,0.2601686457344248,0.1752469334922362,0.4724729263398962,nan,nan,nan,nan,nan,0.33957897308933915,0.22696991846189568,0.6211016096579477,0.18075831837951042,0.12352394852257668,0.32384424302184467,1.116080408657181,0.16426794890361976,1.3564201366721056,0.9215676221400729,5.485207883157721,0.3161545239207783,0.6203599748780664,1.8777643187094377,0.5467754403456689
125,0.260901364444692,0.260901364444692,0.16268130981185203,0.5064515010267918,nan,nan,nan,nan,nan,0.29180736607985297,0.14476019178744806,0.6594253018108652,0.22999536280953098,0.180602427836256,0.35347770024271846,1.7852375344175964,0.13830520721538458,1.248843548176653,0.41010950238967264,5.296786774014636,0.13130598124868942,1.1026819008873217,1.5052298083557976,0.2402320815932471
144,0.26133906187993006,0.26133906187993006,0.15364410120795058,0.5305764635598788,nan,nan,nan,nan,nan,0.24626273538179272,0.08064873999728646,0.6602977238430584,0.2764153883780674,0.2266394624186147,0.40085520327669905,2.0995290216501665,0.11378112623095796,0.9876972926524537,0.5934528629754323,5.948001669765928,0.0814452092872225,0.3957799242567289,0.18729980169186203,0.2107273693629988
120,0.26145541850526227,0.26145541850526227,0.1798938633627548,0.46535930636153083,nan,nan,nan,nan,nan,0.24052186533722555,0.09568747766929882,0.6026078345070423,0.28238897167329896,0.2641002490562108,0.3281107782160194,0.8214789732170741,0.14928414694297687,1.7748786214322085,0.4120294747814147,5.4860540812831635,0.3036664671028911,0.6309052718566801,0.535609783095671,0.3300972689915556
21,0.26228459452956865,0.26228459452956865,0.17233631172632216,0.4871553015376849,nan,nan,nan,nan,nan,0.2877787871035075,0.15744890355456845,0.6136034959758552,0.2367904019556298,0.18722371989807587,0.3607071070995146,1.6723317326638227,0.14124098267852345,2.8547769068354176,2.200306565030231,10.458577908231703,0.09465408190667277,0.11643104915059502,0.18249553481584987,0.9086683307005725
67,0.272506400755422,0.272506400755422,0.17172568044246797,0.524458201537807,nan,nan,nan,nan,nan,0.2624857977304471,0.09306487537393376,0.6860381036217303,0.28252700378039686,0.2503864855110022,0.3628782994538835,1.6262849561532098,0.12186640028983295,2.9745306048732147,2.253525466456995,9.839675530141196,0.09540945126778333,0.23577438400281428,0.13440452971258687,0.4287623983571733
26,0.27335171895234645,0.27335171895234645,0.18522333848421385,0.4936726701226778,nan,nan,nan,nan,nan,0.25465520215398363,0.09422477798539594,0.6557312625754527,0.29204823575070926,0.27622189898303173,0.3316140776699029,1.55124624241275,0.14007773125110157,1.302668170489445,1.6123187664348302,10.727601390336376,0.12356991515190413,0.27950635076970637,0.11801355120237601,0.7527653491130822
20,0.2842065441948341,0.2842065441948341,0.17033372953663933,0.568888580840321,nan,nan,nan,nan,nan,0.2715410318322868,0.08782532685896413,0.7308302942655935,0.2968720565573814,0.2528421322143145,0.40694686741504854,1.7669250460892891,0.11353715266105358,3.0036844095080317,2.2584914104325975,10.455735624313828,0.08349066146542959,0.15700340308300686,0.14489936326580824,0.5751724101367645
87,0.28517263043621277,0.28517263043621277,0.2282846849359357,0.4273924941869054,nan,nan,nan,nan,nan,0.2845211854314773,0.1716822752982332,0.5666184607645876,0.2858240754409483,0.2848870945736382,0.2881665276092233,1.4399790376882935,0.18101431147842142,1.457098598395822,0.7950201377838397,10.110183236902634,0.11354963745630628,0.5294712868209321,0.10672830071060015,0.4806818919261362
78,0.3002733250389079,0.3002733250389079,0.2415772900336065,0.4470134125521612,nan,nan,nan,nan,nan,0.26295316944704333,0.10530118772887875,0.6570831237424547,0.33759348063077244,0.37785339233833426,0.2369437013618677,1.3401120613122828,0.13514193057848256,3.254640711106908,2.4189087504517293,11.1256679452684,0.07719657845277579,0.43695929034558073,0.11380964484398567,0.2810619008042173
107,0.3023312165703961,0.3023312165703961,0.21481341815495952,0.5211257126089872,nan,nan,nan,nan,nan,0.25850365033107403,0.09546584990012333,0.6660981514084507,0.34615878280971807,0.3341609864097957,0.3761532738095238,0.6605973247029208,0.1210484915420491,1.3680796244230562,0.6370193509057034,6.434448357058049,0.2837082143461933,0.777928944545036,1.8215997470483158,0.19819326580812183
95,0.3102222198057878,0.3102222198057878,0.2151701374373047,0.5478524257269954,nan,nan,nan,nan,nan,0.263393866026854,0.0705654214919215,0.7454649773641852,0.3570505735847216,0.3597748533826879,0.35023987408980584,0.8829367511933457,0.10112815710374011,1.5670610837207972,2.073292510507723,6.95632407428249,0.10005307979145288,0.5590027192342043,0.17030378167868335,0.4722041072271569
