trial,original_score,new_score,phys_score,patch_ratio,error_vx,error_vy,error_Bx,error_By,error_Jz,new_loss_kh,phys_kh,patch_kh,new_loss_vortex,phys_vortex,patch_vortex,new_loss_tearing,phys_tearing,patch_tearing,new_loss_coalescence,phys_coalescence,patch_coalescence,param_threshold_amr
22,0.19590267560038122,0.19590267560038122,0.016798459276768467,0.6436632164094129,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.23296888002106186,0.0600873530821181,0.6651726973684211,0.1817349007851849,0.00442886109925881,0.625,0.18889283517976424,0.000657901943977643,0.6594801682692307,0.3228115420561065
25,0.19628509456543747,0.19628509456543747,0.01663178832531688,0.6454183601657388,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.23279172530853262,0.05941992858984034,0.6662212171052632,0.1817349007851849,0.00442886109925881,0.625,0.19059966575251858,0.0006586426304490611,0.6654522235576923,0.31997095102348155
29,0.1964141799737103,0.1964141799737103,0.0166213072390041,0.6458963618104757,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.23330806694162393,0.05937800424458922,0.6681332236842106,0.1817349007851849,0.00442886109925881,0.625,0.19059966575251858,0.0006586426304490611,0.6654522235576923,0.3190322053476838
21,0.19827274947777201,0.19827274947777201,0.022463871030014435,0.637794945597166,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.2495636823421075,0.08270330001579258,0.6667146381578948,0.1817349007851849,0.00442886109925881,0.625,0.18177832836828195,0.0007036020232870315,0.6344651442307693,0.3258749298536406
7,0.1983498569411759,0.1983498569411759,0.02257387739983248,0.6377898057945344,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.2498645607137369,0.08313275342028426,0.6666940789473684,0.1817349007851849,0.00442886109925881,0.625,0.18178587985026803,0.0007141740980675321,0.6344651442307693,0.32631578947368417
24,0.1989703494144777,0.1989703494144777,0.016627979311847663,0.6548262746710527,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.23329098582977267,0.05935409068799745,0.6681332236842106,0.1817349007851849,0.00442886109925881,0.625,0.20084142462743934,0.0007092444784150772,0.701171875,0.3175622455547227
28,0.1989703494144777,0.1989703494144777,0.016627979311847663,0.6548262746710527,nan,nan,nan,nan,nan,0.1800140864155138,0.0020197209817193044,0.625,0.23329098582977267,0.05935409068799745,0.6681332236842106,0.1817349007851849,0.00442886109925881,0.625,0.20084142462743934,0.0007092444784150772,0.701171875,0.31807578587009977
23,0.2006537572800488,0.2006537572800488,0.014145019458437104,0.6669256018340779,nan,nan,nan,nan,nan,0.18168938028062667,0.001994442737704878,0.630926724137931,0.2330603493787809,0.049615081235556364,0.6916735197368421,0.1817349007851849,0.00442886109925881,0.625,0.2061303986756027,0.0005416927612283705,0.7201021634615384,0.30515283762056683
26,0.20221075989844706,0.20221075989844706,0.013469279663005195,0.6740644604870516,nan,nan,nan,nan,nan,0.1850567373306467,0.0019673632973881117,0.6427801724137931,0.23314650573473764,0.04684096329179047,0.6989103618421053,0.1817349007851849,0.00442886109925881,0.625,0.20890489574321894,0.0006399309635833834,0.7295673076923077,0.29456244695939326
27,0.2025620268846075,0.2025620268846075,0.01346118105252276,0.6753141414648192,nan,nan,nan,nan,nan,0.18590081051775015,0.0019637209317466967,0.6457435344827587,0.23370750049227598,0.04681221121550215,0.7009457236842105,0.1817349007851849,0.00442886109925881,0.625,0.20890489574321894,0.0006399309635833834,0.7295673076923077,0.2921184950297944
